site,tag,species,dbh,height,canopy_ht,brooms,rot,Dead / Alive_v1,Dead / Alive_v2,Dead / Alive_v3,Dead / Alive_v4,Inf Location_v1,Inf Location_v2,Inf Location_v3,Inf Location_v4,Gouting_v1,Gouting_v2,Gouting_v3,Gouting_v4,Beetle_v1,Beetle_v2,Beetle_v3,Beetle_v4,NL_v1,NL_v2,NL_v3,NL_v4,NLW_v1,NLW_v2,NLW_v3,NLW_v4,NM_v1,NM_v2,NM_v3,NM_v4,NMW_v1,NMW_v2,NMW_v3,NMW_v4,NH_v1,NH_v2,NH_v3,NH_v4,NHW_v1,NHW_v2,NHW_v3,NHW_v4,SL_v1,SL_v2,SL_v3,SL_v4,SLW_v1,SLW_v2,SLW_v3,SLW_v4,SM_v1,SM_v2,SM_v3,SM_v4,SMW_v1,SMW_v2,SMW_v3,SMW_v4,SH_v1,SH_v2,SH_v3,SH_v4,SHW_v1,SHW_v2,SHW_v3,SHW_v4,Notes_v1,Notes_v2,Notes_v3,Notes_v4,WSB_v1,WSB_v2,WSB_v3,WSB_v4,infested_v1,infested_v2,infested_v3,infested_v4,new_infestation,tag_ID,unique_ID,Number,Description,GeometryType,Latitude,Longitude,Elevation,GeoidOffset,distance,tagID
CXSP,901,ABLA,4.3,25.4,0.2,2,0,1,1,1,1,0,0,0,BO,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,2,0,0,0,,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,WOB,WOB,WOB,WOB,,,,,0,0,0,1,1,ABLA901,CXSPABLA901,2950,,Point,41.64148837,-111.4923609,2243.409,-16.903,0.065791477,CXSPABLA901
CXSP,5201,ABLA,,1.3,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,ABLA5201,CXSPABLA5201,,,,41.64148837,-111.4923609,2243.409,-16.903,0.065791477,CXSPABLA5201
CXSP,902,ABLA,3,17.4,0,1,0,1,1,1,1,0,0,0,BO,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,WOB,WOB,WOB,WOB,,,,,0,0,0,1,1,ABLA902,CXSPABLA902,2951,,Point,41.6414536,-111.4923345,2242.385,-16.903,0.062607351,CXSPABLA902
CXSP,903,ABLA,2.2,13.6,0,3,0,1,1,1,1,0,0,0,BO,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,WOB,WOB,WOB,WOB,,,,,0,0,0,1,1,ABLA903,CXSPABLA903,2952,,Point,41.6414399,-111.4923194,2243.01,-16.903,0.061016442,CXSPABLA903
CXSP,908,ABLA,,8.8,0,0,0,1,1,1,1,0,0,BO,BO,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,,0,0,0,2,0,0,0,,0,0,0,2,0,0,0,,0,0,0,0,0,0,0,,Rot in area,Rot in area,Rot in area,Rot in area,,,,,0,0,1,1,1,ABLA908,CXSPABLA908,2957,,Point,41.64145333,-111.492322,2244.632,-16.903,0.061595772,CXSPABLA908
CXSP,905,ABLA,1.8,13.1,0,0,0,1,1,1,1,0,0,0,BO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,2,0,0,0,,0,0,0,1,0,0,0,,0,0,0,1,0,0,0,,,,,,,,,,0,0,0,1,1,ABLA905,CXSPABLA905,2954,,Point,41.64144759,-111.4923047,2242.783,-16.903,0.060042487,CXSPABLA905
CXSP,906,ABLA,1.3,9.3,0,0,0,1,1,1,1,0,0,0,BO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,1,1,ABLA906,CXSPABLA906,2955,,Point,41.64144969,-111.4923063,2241.939,-16.903,0.06023086,CXSPABLA906
CXSP,907,ABLA,2,15.5,0,0,0,1,1,1,1,0,0,0,BO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,,0,0,0,2,0,0,0,,0,0,0,2,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,1,1,ABLA907,CXSPABLA907,2956,,Point,41.64144861,-111.4923058,2243.81,-16.903,0.060159839,CXSPABLA907
CXSP,909,ABLA,9.9,38.6,4.9,2,0,1,1,1,1,BO,BO,BO,BO,0,0,1,1,0,0,0,0,2,2,2,2,3-11,3-2,3–1,3-3,2,2,2,2,1-6,1-7,1–4,1-4,2,2,2,2,4-4,4-5,4–4,4-6,2,2,2,2,1-2,1-2,1–1,1-2,2,2,2,2,4-10,4-6,4–6,4-5,2,2,2,2,4-4,4-4,4–5,4-6,1DB,1DB,1DB,1DB,,,,,1,1,1,1,0,ABLA909,CXSPABLA909,2959,,Point,41.64148016,-111.4922752,2241.554,-16.903,0.058739954,CXSPABLA909
CXSP,910,ABLA,1.3,10.3,2.6,0,0,1,1,1,1,0,BO,BO,BO,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,2,0,0,0,,0,0,1,2,0,0,0,,0,1,1,1,0,0,0,,,,,,,,,,0,1,1,1,1,ABLA910,CXSPABLA910,2961,,Point,41.64143424,-111.4922443,2237.866,-16.903,0.054811018,CXSPABLA910
