"","site","tag","species","dbh","height","canopy_ht","brooms","rot","Dead / Alive_v1","Dead / Alive_v2","Dead / Alive_v3","Dead / Alive_v4","Inf Location_v1","Inf Location_v2","Inf Location_v3","Inf Location_v4","Gouting_v1","Gouting_v2","Gouting_v3","Gouting_v4","Beetle_v1","Beetle_v2","Beetle_v3","Beetle_v4","NL_v1","NL_v2","NL_v3","NL_v4","NLW_v1","NLW_v2","NLW_v3","NLW_v4","NM_v1","NM_v2","NM_v3","NM_v4","NMW_v1","NMW_v2","NMW_v3","NMW_v4","NH_v1","NH_v2","NH_v3","NH_v4","NHW_v1","NHW_v2","NHW_v3","NHW_v4","SL_v1","SL_v2","SL_v3","SL_v4","SLW_v1","SLW_v2","SLW_v3","SLW_v4","SM_v1","SM_v2","SM_v3","SM_v4","SMW_v1","SMW_v2","SMW_v3","SMW_v4","SH_v1","SH_v2","SH_v3","SH_v4","SHW_v1","SHW_v2","SHW_v3","SHW_v4","Notes_v1","Notes_v2","Notes_v3","Notes_v4","Visit_v1","Visit_v2","Visit_v3","Visit_v4","WSB_v1","WSB_v2","WSB_v3","WSB_v4","infested_v1","infested_v2","infested_v3","infested_v4","new_infestation","tag_ID","Number","Tag #","Description","GeometryType","Elevation","GeoidOffset","distance","infestation_visit_1","infestation_visit_2","infestation_visit_3","infestation_visit_4","unique_ID","TARGET","DISTANCE","TARGET2","DISTANCE2","TARGET3","DISTANCE3","TARGET4","DISTANCE4","geometry.x","Latitude.focal","Longitude.focal","Latitude.target","Longitude.target","geometry.y","bearings1","Latitude.target2","Longitude.target2","geometry.x.x","bearings2","Latitude.target3","Longitude.target3","geometry.y.y","bearings3","Latitude.target4","Longitude.target4","geometry","bearings4","infestation_sum_Visit1_focal","infestation_sum_Visit2_focal","infestation_sum_Visit3_focal","infestation_sum_Visit4_focal","inf_sum_Visit1_target","inf_sum_Visit2_target","inf_sum_Visit3_target","inf_sum_Visit4_target"
"1","CXSP",901,"ABLA",4.3,25.4,0.2,2,"0",1,1,1,1,"0","0","0","BO",0,1,0,0,"0","0","0","0",0,0,0,1,"0","0","0",NA,0,0,0,2,"0","0","0",NA,0,0,0,1,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,"WOB","WOB","WOB","WOB",1,2,3,4,NA,NA,NA,NA,0,0,0,1,1,"CXSP901",2950,901,NA,"Point",2243.409,-16.903,0.0657914768050761,0,0,0,1,"CXSP_901_1","CXSP_935_37",3.88078346554599,"CXSP_935_37",3.88078346554599,"CXSP_935_37",3.88078346554599,"CXSP_935_37",3.88078346554599,NA,41.64148837,-111.4923609,41.6415047,-111.4923197,NA,62.1485745427756,41.6415047,-111.4923197,NA,62.1485745427756,41.6415047,-111.4923197,NA,62.1485745427756,41.6415047,-111.4923197,NA,62.1485745427756,0,0,0,4,12,12,12,12
"2","CXSP",5201,"ABLA",NA,1.3,0,0,"0",1,1,1,1,"0","0","0","0",0,0,0,0,"0","0","0","0",0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,0,0,0,0,0,"CXSP5201",NA,5201,NA,NA,2243.409,-16.903,0.0657914768050761,0,0,0,0,"CXSP_5201_2","CXSP_935_37",3.88078346554599,"CXSP_935_37",3.88078346554599,"CXSP_935_37",3.88078346554599,"CXSP_935_37",3.88078346554599,NA,41.64148837,-111.4923609,41.6415047,-111.4923197,NA,62.1485745427756,41.6415047,-111.4923197,NA,62.1485745427756,41.6415047,-111.4923197,NA,62.1485745427756,41.6415047,-111.4923197,NA,62.1485745427756,0,0,0,0,12,12,12,12
"3","CXSP",902,"ABLA",3,17.4,0,1,"0",1,1,1,1,"0","0","0","BO",1,1,1,1,"0","0","0","0",0,0,0,1,"0","0","0",NA,0,0,0,1,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,"WOB","WOB","WOB","WOB",1,2,3,4,NA,NA,NA,NA,0,0,0,1,1,"CXSP902",2951,902,NA,"Point",2242.385,-16.903,0.0626073513773468,0,0,0,1,"CXSP_902_3","CXSP_5260_18",3.76054920216053,"CXSP_5260_18",3.76054920216053,"CXSP_919_21",5.3949224735481,"CXSP_908_5",1.04146427946939,NA,41.6414536,-111.4923345,41.6414763711667,-111.492301072667,NA,47.7565329135882,41.6414763711667,-111.492301072667,NA,47.7565329135882,41.64149519,-111.492301,NA,31.1410479369293,41.64145333,-111.492322,NA,91.6493717306845,0,0,0,2,2,2,0,7
"4","CXSP",903,"ABLA",2.2,13.6,0,3,"0",1,1,1,1,"0","0","0","BO",0,0,1,1,"0","0","0","0",0,0,0,0,"0","0","0",NA,0,0,0,1,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,1,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,"WOB","WOB","WOB","WOB",1,2,3,4,NA,NA,NA,NA,0,0,0,1,1,"CXSP903",2952,903,NA,"Point",2243.01,-16.903,0.0610164422432338,0,0,0,1,"CXSP_903_4","CXSP_5260_18",4.32731024374027,"CXSP_1018_112",3.69124393911376,"CXSP_904_11",4.95718219753894,"CXSP_907_8",1.48929888955748,NA,41.6414399,-111.4923194,41.6414763711667,-111.492301072667,NA,20.6540410536018,41.64142171,-111.4922823,NA,123.169213082489,41.64143346,-111.4922605,NA,98.2929236007569,41.64144861,-111.4923058,NA,49.510189353227,0,0,0,2,2,2,0,7
"5","CXSP",908,"ABLA",NA,8.8,0,0,"0",1,1,1,1,"0","0","BO","BO",1,1,1,1,"0","0","0","0",0,0,0,0,"0","0","0",NA,0,0,0,1,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,2,"0","0","0",NA,0,0,0,2,"0","0","0",NA,0,0,0,0,"0","0","0",NA,"Rot in area","Rot in area","Rot in area","Rot in area",1,2,3,4,NA,NA,NA,NA,0,0,0,1,1,"CXSP908",2957,908,NA,"Point",2244.632,-16.903,0.0615957720128335,0,0,0,1,"CXSP_908_5","CXSP_5260_18",3.09542479599008,"CXSP_5260_18",3.09542479599008,"CXSP_909_9",4.90556964194006,"CXSP_902_3",1.04146427946939,NA,41.64145333,-111.492322,41.6414763711667,-111.492301072667,NA,34.2670702713848,41.6414763711667,-111.492301072667,NA,34.2670702713848,41.64148016,-111.4922752,NA,52.6109407134536,41.6414536,-111.4923345,NA,-88.3506199634771,0,0,0,5,2,2,0,7
"6","CXSP",905,"ABLA",1.8,13.1,0,0,"0",1,1,1,1,"0","0","0","BO",0,0,0,0,"0","0","0","0",0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,2,"0","0","0",NA,0,0,0,1,"0","0","0",NA,0,0,0,1,"0","0","0",NA,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,0,0,0,1,1,"CXSP905",2954,905,NA,"Point",2242.783,-16.903,0.0600424871307624,0,0,0,1,"CXSP_905_6","CXSP_5260_18",3.20965414699754,"CXSP_5260_18",3.20965414699754,"CXSP_904_11",4.0014357798275,"CXSP_907_8",0.145660266431712,NA,41.64144759,-111.4923047,41.6414763711667,-111.492301072667,NA,5.40069139744068,41.6414763711667,-111.492301072667,NA,5.40069139744068,41.64143346,-111.4922605,NA,113.082242136256,41.64144861,-111.4923058,NA,-38.9716187264927,0,0,0,4,2,2,0,7
"7","CXSP",906,"ABLA",1.3,9.3,0,0,"0",1,1,1,1,"0","0","0","BO",0,0,0,0,"0","0","0","0",0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,1,"0","0","0",NA,0,0,0,1,"0","0","0",NA,0,0,0,0,"0","0","0",NA,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,0,0,0,1,1,"CXSP906",2955,906,NA,"Point",2241.939,-16.903,0.0602308601975823,0,0,0,1,"CXSP_906_7","CXSP_5260_18",2.99407439806588,"CXSP_5260_18",2.99407439806588,"CXSP_904_11",4.21854853214892,"CXSP_907_8",0.126931003245797,NA,41.64144969,-111.4923063,41.6414763711667,-111.492301072667,NA,8.36058665196132,41.6414763711667,-111.492301072667,NA,8.36058665196132,41.64143346,-111.4922605,NA,115.286357254698,41.64144861,-111.4923058,NA,160.848775153979,0,0,0,2,2,2,0,7
"8","CXSP",907,"ABLA",2,15.5,0,0,"0",1,1,1,1,"0","0","0","BO",0,0,0,0,"0","0","0","0",0,0,0,0,"0","0","0",NA,0,0,0,1,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,2,"0","0","0",NA,0,0,0,2,"0","0","0",NA,0,0,0,0,"0","0","0",NA,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,0,0,0,1,1,"CXSP907",2956,907,NA,"Point",2243.81,-16.903,0.0601598393317193,0,0,0,1,"CXSP_907_8","CXSP_5260_18",3.10720474785678,"CXSP_5260_18",3.10720474785678,"CXSP_904_11",4.13067446945455,"CXSP_906_7",0.126931003245797,NA,41.64144861,-111.4923058,41.6414763711667,-111.492301072667,NA,7.27934277557155,41.6414763711667,-111.492301072667,NA,7.27934277557155,41.64143346,-111.4922605,NA,114.029139240778,41.64144969,-111.4923063,NA,-19.1512245137871,0,0,0,5,2,2,0,7
"9","CXSP",909,"ABLA",9.9,38.6,4.9,2,"0",1,1,1,1,"BO","BO","BO","BO",0,0,1,1,"0","0","0","0",2,2,2,2,"3-11","3-2","3–1","3-3",2,2,2,2,"1-6","1-7","1–4","1-4",2,2,2,2,"4-4","4-5","4–4","4-6",2,2,2,2,"1-2","1-2","1–1","1-2",2,2,2,2,"4-10","4-6","4–6","4-5",2,2,2,2,"4-4","4-4","4–5","4-6","1DB","1DB","1DB","1DB",1,2,3,4,NA,NA,NA,NA,1,1,1,1,0,"CXSP909",2959,909,NA,"Point",2241.554,-16.903,0.058739954354758,1,1,1,1,"CXSP_909_9","CXSP_915_16",0.354087650163444,"CXSP_915_16",0.354087650163444,"CXSP_911_12",2.46644929862633,"CXSP_915_16",0.354087650163444,NA,41.64148016,-111.4922752,41.64147776,-111.4922724,NA,138.809149849092,41.64147776,-111.4922724,NA,138.809149849092,41.6414664921667,-111.492251853,NA,127.969411023938,41.64147776,-111.4922724,NA,138.809149849092,12,12,12,12,1,1,0,5
"10","CXSP",910,"ABLA",1.3,10.3,2.6,0,"0",1,1,1,1,"0","BO","BO","BO",0,0,0,0,"0","0","0","0",0,0,0,1,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,2,"0","0","0",NA,0,0,0,2,"0","0","0",NA,0,1,0,1,"0","0","0",NA,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,0,1,0,1,1,"CXSP910",2961,910,NA,"Point",2237.866,-16.903,0.0548110182983121,0,1,0,1,"CXSP_910_10","CXSP_904_11",1.35195526292265,"CXSP_904_11",1.35195526292265,"CXSP_904_11",1.35195526292265,"CXSP_904_11",1.35195526292265,NA,41.64143424,-111.4922443,41.64143346,-111.4922605,NA,-93.6725637408113,41.64143346,-111.4922605,NA,-93.6725637408113,41.64143346,-111.4922605,NA,-93.6725637408113,41.64143346,-111.4922605,NA,-93.6725637408113,0,1,0,6,3,5,6,12
