"","site","tag","species","dbh","height","canopy_ht","brooms","rot","Dead / Alive_v1","Dead / Alive_v2","Dead / Alive_v3","Dead / Alive_v4","Inf Location_v1","Inf Location_v2","Inf Location_v3","Inf Location_v4","Gouting_v1","Gouting_v2","Gouting_v3","Gouting_v4","Beetle_v1","Beetle_v2","Beetle_v3","Beetle_v4","NL_v1","NL_v2","NL_v3","NL_v4","NLW_v1","NLW_v2","NLW_v3","NLW_v4","NM_v1","NM_v2","NM_v3","NM_v4","NMW_v1","NMW_v2","NMW_v3","NMW_v4","NH_v1","NH_v2","NH_v3","NH_v4","NHW_v1","NHW_v2","NHW_v3","NHW_v4","SL_v1","SL_v2","SL_v3","SL_v4","SLW_v1","SLW_v2","SLW_v3","SLW_v4","SM_v1","SM_v2","SM_v3","SM_v4","SMW_v1","SMW_v2","SMW_v3","SMW_v4","SH_v1","SH_v2","SH_v3","SH_v4","SHW_v1","SHW_v2","SHW_v3","SHW_v4","Notes_v1","Notes_v2","Notes_v3","Notes_v4","Visit_v1","Visit_v2","Visit_v3","Visit_v4","WSB_v1","WSB_v2","WSB_v3","WSB_v4","infested_v1","infested_v2","infested_v3","infested_v4","new_infestation","tag_ID","Number","Tag #","Description","GeometryType","Elevation","GeoidOffset","distance","infestation_visit_1","infestation_visit_2","infestation_visit_3","infestation_visit_4","unique_ID","TARGET","DISTANCE","TARGET2","DISTANCE2","TARGET3","DISTANCE3","TARGET4","DISTANCE4","geometry.x","Latitude.focal","Longitude.focal","Latitude.target","Longitude.target","geometry.y","bearings1","Latitude.target2","Longitude.target2","geometry.x.x","bearings2","Latitude.target3","Longitude.target3","geometry.y.y","bearings3","Latitude.target4","Longitude.target4","geometry","bearings4","infestation_sum_Visit1_focal","infestation_sum_Visit2_focal","infestation_sum_Visit3_focal","infestation_sum_Visit4_focal","inf_sum_Visit1_target","inf_sum_Visit2_target","inf_sum_Visit3_target","inf_sum_Visit4_target"
"1","EMIG",251,"ABLA",2.7,14.2,0,0,"0",1,1,1,1,"0","0","BO","BO",NA,NA,0,1,"0","0","0","0",0,0,0,0,"0","0","0",NA,0,0,0,1,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,1,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,0,0,0,1,1,"EMIG251",2169,251,NA,"Point",2219.046,NA,0.187918923331113,0,0,0,1,"EMIG_251_225","EMIG_726_510",5.68597513742134,"EMIG_697_482",5.56020479710983,"EMIG_685_472",6.4143773683721,"EMIG_252_226",0.616885316498419,NA,42.3741974,-111.5533454,42.37423023,-111.5533984,NA,-50.1243773416849,42.37422593,-111.5534009,NA,-55.2670008782039,42.37417395,-111.5534166,NA,-113.950131744841,42.37420205,-111.5533495,NA,-33.1756424522348,0,0,0,2,1,0,0,0
"2","EMIG",252,"ABLA",2,9.3,0,0,"0",1,1,1,1,"0","0","0","0",NA,NA,0,0,"0","0","0","0",0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,1,"0","0","0",NA,0,0,0,0,"0","0","0",NA,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,0,0,0,1,1,"EMIG252",2170,252,NA,"Point",2219.034,NA,0.187373843534895,0,0,0,1,"EMIG_252_226","EMIG_726_510",5.09905574934138,"EMIG_697_482",4.99399971579985,"EMIG_685_472",6.34476377473948,"EMIG_251_225",0.616885316498419,NA,42.37420205,-111.5533495,42.37423023,-111.5533984,NA,-52.1454888572468,42.37422593,-111.5534009,NA,-57.9296920207463,42.37417395,-111.5534166,NA,-119.457276493228,42.3741974,-111.5533454,NA,146.824354784489,0,0,0,1,1,0,0,0
"3","EMIG",253,"ABLA",1.5,10.6,0,2,"0",1,1,1,1,"0","0","0","0",NA,NA,0,1,"0","0","0","0",0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,NA,NA,"bifur","bifur",1,2,3,4,NA,NA,NA,NA,0,0,0,0,0,"EMIG253",2171,253,NA,"Point",2219.905,NA,0.193825554558827,0,0,0,0,"EMIG_253_227","EMIG_271_246",6.58972101459291,"EMIG_273_248",6.50436096849144,"EMIG_685_472",9.77297285686155,"EMIG_255_229",1.17403449523329,NA,42.37413893,-111.5533077,42.37407974,-111.5533135,NA,-175.844360613285,42.37409018,-111.5533515,NA,-146.328879064874,42.37417395,-111.5534166,NA,-66.5535217242373,42.37413118,-111.5533174,NA,-137.137382279473,0,0,0,0,1,0,0,3
"4","EMIG",254,"ABLA",1.3,10.2,0,1,"0",1,1,1,1,"0","0","0","0",NA,NA,0,0,"0","0","0","0",0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,0,0,0,0,0,"EMIG254",2172,254,NA,"Point",2217.095,NA,0.193283133557599,0,0,0,0,"EMIG_254_228","EMIG_271_246",5.7787297099945,"EMIG_273_248",5.21465652825937,"EMIG_685_472",9.15557937129823,"EMIG_255_229",0.322599756895314,NA,42.37413146,-111.5533213,42.37407974,-111.5533135,NA,173.619476980427,42.37409018,-111.5533515,NA,-151.522075110027,42.37417395,-111.5534166,NA,-58.9811782828793,42.37413118,-111.5533174,NA,95.5305270905073,0,0,0,0,1,0,0,3
"5","EMIG",255,"ABLA",3.3,16.3,0,1,"0",1,1,1,1,"0","0","0","BO",NA,NA,0,0,"0","0","0","0",0,0,0,0,"0","0","0",NA,0,0,0,1,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,1,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,1,"0","0","0",NA,NA,NA,"bifur w/253","bifur w/253",1,2,3,4,NA,NA,NA,NA,0,0,0,1,1,"EMIG255",2173,255,NA,"Point",2216.48,NA,0.193574721020091,0,0,0,1,"EMIG_255_229","EMIG_271_246",5.7208622992341,"EMIG_273_248",5.34868973750447,"EMIG_685_472",9.44780150109938,"EMIG_259_233",1.67561929835574,NA,42.37413118,-111.5533174,42.37407974,-111.5533135,NA,176.782434071141,42.37409018,-111.5533515,NA,-148.338183534826,42.37417395,-111.5534166,NA,-59.8230937141213,42.37412686,-111.5533369,NA,-106.635083648322,0,0,0,3,1,0,0,3
"6","EMIG",256,"ABLA",1.9,10.3,0,1,"0",1,1,1,1,"0","0","0","0",NA,NA,0,0,"0","0","0","0",0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,0,0,0,0,0,"EMIG256",2174,256,NA,"Point",2215.2,NA,0.19281896736348,0,0,0,0,"EMIG_256_230","EMIG_271_246",5.57083846101212,"EMIG_273_248",4.57748719394657,"EMIG_685_472",8.72010240756484,"EMIG_259_233",0.559179580998525,NA,42.37412832,-111.5533304,42.37407974,-111.5533135,NA,165.536121952752,42.37409018,-111.5533515,NA,-157.696371274097,42.37417395,-111.5534166,NA,-54.4764134304792,42.37412686,-111.5533369,NA,-106.853114588665,0,0,0,0,1,0,0,3
"7","EMIG",257,"ABLA",1.7,9.9,1,0,"0",1,1,1,1,"0","0","0","BO",NA,NA,0,0,"0","0","0","0",0,0,0,0,"0","0","0",NA,0,0,0,1,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,0,0,0,1,1,"EMIG257",2175,257,NA,"Point",2212.825,NA,0.1925257665506,0,0,0,1,"EMIG_257_231","EMIG_271_246",5.34945355064165,"EMIG_273_248",3.97130739981157,"EMIG_685_472",8.50937750009404,"EMIG_259_233",0.275590651166794,NA,42.37412445,-111.5533377,42.37407974,-111.5533135,NA,158.132602446799,42.37409018,-111.5533515,NA,-163.375345677221,42.37417395,-111.5534166,NA,-49.7648316022892,42.37412686,-111.5533369,NA,13.8275497361912,0,0,0,1,1,0,0,3
"8","EMIG",258,"ABLA",NA,3.9,0,1,"0",1,1,1,1,"0","0","0","0",NA,NA,0,0,"0","0","0","0",0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,"1 DB","1 DB","1 DB","1 DB",1,2,3,4,NA,NA,NA,NA,0,0,0,0,0,"EMIG258",2176,258,NA,"Point",2215.127,NA,0.192230214935546,0,0,0,0,"EMIG_258_232","EMIG_271_246",5.86561024602817,"EMIG_273_248",4.49336807833862,"EMIG_685_472",8.15406451957355,"EMIG_259_233",0.290614391845706,NA,42.37412937,-111.5533379,42.37407974,-111.5533135,NA,159.971245547703,42.37409018,-111.5533515,NA,-165.57008663957,42.37417395,-111.5534166,NA,-52.6217734689007,42.37412686,-111.5533369,NA,163.542375532116,0,0,0,0,1,0,0,3
"9","EMIG",259,"ABLA",11.1,38.2,5.2,2,"0",1,1,1,1,"0","0","0","BO",NA,NA,0,0,"0","0","0","0",0,0,0,1,"0","0","0",NA,0,0,0,1,"0","0","0",NA,0,0,0,1,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,1,"0","0","0",NA,0,0,0,0,"0","0","0",NA,"2 DB","2 DB","2 DB","2 DB",1,2,3,4,NA,NA,NA,NA,0,0,0,1,1,"EMIG259",2177,259,NA,"Point",2213.767,NA,0.192444112540221,0,0,0,1,"EMIG_259_233","EMIG_271_246",5.57558954200211,"EMIG_273_248",4.24659100904118,"EMIG_685_472",8.39043889018344,"EMIG_257_231",0.275590651166794,NA,42.37412686,-111.5533369,42.37407974,-111.5533135,NA,159.78522969929,42.37409018,-111.5533515,NA,-163.556796802627,42.37417395,-111.5534166,NA,-51.4506258418903,42.37412445,-111.5533377,NA,-166.172449724634,0,0,0,4,1,0,0,3
"10","EMIG",260,"ABLA",1.3,9.4,2.1,0,"0",1,1,1,1,"0","0","0","0",NA,NA,0,0,"0","0","0","0",0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,0,0,0,0,0,"EMIG260",2178,260,NA,"Point",2216.988,NA,0.195464883125008,0,0,0,0,"EMIG_260_234","EMIG_271_246",3.99098435318926,"EMIG_273_248",4.80073270408011,"EMIG_685_472",11.372689215685,"EMIG_255_229",2.12698989612388,NA,42.37411494,-111.5533037,42.37407974,-111.5533135,NA,-168.336041387764,42.37409018,-111.5533515,NA,-124.937902952934,42.37417395,-111.5534166,NA,-54.8195448776897,42.37413118,-111.5533174,NA,-32.0262696525894,0,0,0,0,1,0,0,3
