Number,Name,Description,GeometryType,Latitude,Longitude,Elevation,GeoidOffset
6060,potr62,"",Point,41.798379754,-111.519115368,2388.699,-16.928
6059,316,"",Point,41.7985427941667,-111.518805311167,2388.118,-16.928
6058,1301,"",Point,41.6412798763333,-111.491777884167,2238.064,-16.903
6057,5097,"",Point,41.4092504963333,-111.533940862833,2528.678,-16.898
6056,potr53,"",Point,40.7706921178333,-111.107282767167,2328.107,-16.648
6055,potr29,"",Point,40.7706826425,-111.107121940667,2327.275,-16.648
6054,pico257,"",Point,40.7706323628333,-111.1073001835,2332.232,-16.648
6053,pico254,"",Point,40.7705843863333,-111.107179064333,2328.372,-16.648
6052,pico253,"",Point,40.770713538,-111.1071716795,2328.749,-16.648
6051,pico248,"",Point,40.7707140081667,-111.107162889667,2328.899,-16.648
6050,pico247,"",Point,40.7707099665,-111.107161087,2327.997,-16.648
6049,pien99,"",Point,40.7706327178333,-111.107509356333,2332.785,-16.648
6048,pien94,"",Point,40.7705693255,-111.107159822167,2328.3,-16.648
6047,potr212,"",Point,40.7709365348333,-111.107464838,2336.437,-16.648
6046,potr196,"",Point,40.7708805905,-111.107469764833,2335.064,-16.648
6045,potr112,"",Point,40.770825557,-111.107394673,2329.754,-16.648
6044,potr114,"",Point,40.7708295726667,-111.107435979833,2331.272,-16.648
6043,pico200,"",Point,40.7708442118333,-111.107337682,2330.284,-16.648
6042,pipu26,"",Point,40.7708581143333,-111.107183503,2328.45,-16.648
6041,pico37,"",Point,40.770989475,-111.107028101,2325.328,-16.648
6040,psmeg17,"",Point,40.7708817956667,-111.1070270185,2324.81,-16.648
6039,pico27,"",Point,40.7709457638333,-111.107017441667,2324.76,-16.648
6038,pico82,"",Point,40.7707311906667,-111.107106426333,2328.484,-16.648
6037,potr84,"",Point,40.4351879506667,-111.638665301167,2252.222,-16.856
6036,49,"",Point,40.4347858321667,-111.639179890833,2255.556,-16.857
6035,48,"",Point,40.4348521865,-111.639185266167,2259.422,-16.857
5721,psmeg7054,"",Point,41.9334948411667,-111.5712926685,2055.352,-16.96
5720,1152,"",Point,41.9335918998333,-111.571186098167,2048.585,-16.96
5719,pico39,"",Point,42.3738814596667,-111.553384161667,2211.926,-16.993
5718,444,"",Point,42.373785459,-111.553436673833,2207.039,-16.993
