"","site","tag","species","dbh","height","canopy_ht","brooms","rot","Dead / Alive_v1","Dead / Alive_v2","Dead / Alive_v3","Dead / Alive_v4","Inf Location_v1","Inf Location_v2","Inf Location_v3","Inf Location_v4","Gouting_v1","Gouting_v2","Gouting_v3","Gouting_v4","Beetle_v1","Beetle_v2","Beetle_v3","Beetle_v4","NL_v1","NL_v2","NL_v3","NL_v4","NLW_v1","NLW_v2","NLW_v3","NLW_v4","NM_v1","NM_v2","NM_v3","NM_v4","NMW_v1","NMW_v2","NMW_v3","NMW_v4","NH_v1","NH_v2","NH_v3","NH_v4","NHW_v1","NHW_v2","NHW_v3","NHW_v4","SL_v1","SL_v2","SL_v3","SL_v4","SLW_v1","SLW_v2","SLW_v3","SLW_v4","SM_v1","SM_v2","SM_v3","SM_v4","SMW_v1","SMW_v2","SMW_v3","SMW_v4","SH_v1","SH_v2","SH_v3","SH_v4","SHW_v1","SHW_v2","SHW_v3","SHW_v4","Notes_v1","Notes_v2","Notes_v3","Notes_v4","Visit_v1","Visit_v2","Visit_v3","Visit_v4","WSB_v1","WSB_v2","WSB_v3","WSB_v4","infested_v1","infested_v2","infested_v3","infested_v4","new_infestation","tag_ID","Number","Tag #","Description","GeometryType","Elevation","GeoidOffset","distance","infestation_visit_1","infestation_visit_2","infestation_visit_3","infestation_visit_4","unique_ID","TARGET","DISTANCE","TARGET2","DISTANCE2","TARGET3","DISTANCE3","TARGET4","DISTANCE4","geometry.x","Latitude.focal","Longitude.focal","Latitude.target","Longitude.target","geometry.y","bearings1","Latitude.target2","Longitude.target2","geometry.x.x","bearings2","Latitude.target3","Longitude.target3","geometry.y.y","bearings3","Latitude.target4","Longitude.target4","geometry","bearings4","infestation_sum_Visit1_focal","infestation_sum_Visit2_focal","infestation_sum_Visit3_focal","infestation_sum_Visit4_focal","inf_sum_Visit1_target","inf_sum_Visit2_target","inf_sum_Visit3_target","inf_sum_Visit4_target"
"1","FRNK",7023,"ABLA",1.3,8.4,0,3,"0",1,1,1,1,"0","0","0","0",NA,NA,0,0,"0","0","3","3",0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,"WOB","WOB","WOB","WOB",1,2,3,4,NA,NA,NA,NA,0,0,0,0,0,"FRNK7023",1304,7023,NA,"Point",2057.076,NA,0.0642693622665478,0,0,0,0,"FRNK_7023_1057","FRNK_7031_1064",3.52555488083792,"FRNK_7034_1067",7.37802138474627,"FRNK_7351_1074",10.1526475230875,"FRNK_7007_1631",3.37955324575097,NA,41.93361316,-111.5715475,41.9336297,-111.5715112,NA,58.6076294090611,41.93367911,-111.5715366,NA,7.0353595381298,41.93368556,-111.5714727,NA,37.6482257995834,41.93358639,-111.5715669,NA,-151.581139092266,0,0,0,0,1,0,0,1
"2","FRNK",7024,"ABLA",NA,2,0,1,"0",1,1,1,1,"0","0","0","0",NA,NA,0,0,"0","0","1","1",0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,"WOB","WOB","WOB","WOB",1,2,3,4,NA,NA,NA,NA,0,0,0,0,0,"FRNK7024",1305,7024,NA,"Point",2057.146,NA,0.0619591841307536,0,0,0,0,"FRNK_7024_1058","FRNK_7031_1064",4.55521734133872,"FRNK_7034_1067",9.60891155479331,"FRNK_7064_1556",10.5238955922742,"FRNK_7007_1631",2.76465229124516,NA,41.93359258,-111.5715346,41.9336297,-111.5715112,NA,25.2066896142926,41.93367911,-111.5715366,NA,-0.988746986822506,41.93357651,-111.5714095,NA,99.7612595429673,41.93358639,-111.5715669,NA,-104.394395314962,0,0,0,0,1,0,0,1
"3","FRNK",7026,"ABLA",6.7,45.1,2.7,0,"0",1,1,1,1,"0","0","0","0",NA,NA,0,0,"0","0","0","0",0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,0,0,0,0,0,"FRNK7026",1307,7026,NA,"Point",2057.075,NA,0.061089458856392,0,0,0,0,"FRNK_7026_1059","FRNK_7031_1064",3.72177804169489,"FRNK_7064_1556",9.10898010539817,"FRNK_7064_1556",9.10898010539817,"FRNK_7031_1064",3.72177804169489,NA,41.93359638,-111.5715161,41.9336297,-111.5715112,NA,6.26642619294716,41.93357651,-111.5714095,NA,104.016281273507,41.93357651,-111.5714095,NA,104.016281273507,41.9336297,-111.5715112,NA,6.26642619294716,0,0,0,0,1,0,0,1
"4","FRNK",7027,"ABLA",1.2,8.7,1.2,0,"0",1,1,1,1,"0","0","0","0",NA,NA,0,0,"0","0","0","0",0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,"WOB, Rot in area","WOB, Rot in area","WOB, Rot in area","WOB, Rot in area",1,2,3,4,NA,NA,NA,NA,0,0,0,0,0,"FRNK7027",1308,7027,NA,"Point",2057.589,NA,0.0615894719570105,0,0,0,0,"FRNK_7027_1060","FRNK_7031_1064",2.7777106717957,"FRNK_7034_1067",8.46400937801628,"FRNK_7064_1556",9.2143670363471,"FRNK_7031_1064",2.7777106717957,NA,41.93360477,-111.571514,41.9336297,-111.5715112,NA,4.7938672799463,41.93367911,-111.5715366,NA,-12.7894742120597,41.93357651,-111.5714095,NA,109.908850390192,41.9336297,-111.5715112,NA,4.7938672799463,0,0,0,0,1,0,0,1
"5","FRNK",7028,"ABLA",NA,6.5,0,3,"0",1,1,1,1,"0","0","0","0",NA,NA,0,0,"0","0","3","3",0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,"WOB, Rot in area, 2DB","WOB, Rot in area, 2DB","WOB, Rot in area, 2DB","WOB, Rot in area, 2DB",1,2,3,4,NA,NA,NA,NA,0,0,0,0,0,"FRNK7028",1309,7028,NA,"Point",2056.747,NA,0.0613299997271427,0,0,0,0,"FRNK_7028_1061","FRNK_7031_1064",2.36862360909178,"FRNK_7034_1067",8.23148873151067,"FRNK_7064_1556",8.65442717811802,"FRNK_7031_1064",2.36862360909178,NA,41.93360898,-111.5715044,41.9336297,-111.5715112,NA,-13.7692213341923,41.93367911,-111.5715366,NA,-18.9238821495777,41.93357651,-111.5714095,NA,114.618120768682,41.9336297,-111.5715112,NA,-13.7692213341923,0,0,0,0,1,0,0,1
"6","FRNK",7029,"ABLA",1.4,10,0,1,"0",1,1,1,1,"0","0","0","0",NA,NA,0,0,"0","0","1","1",0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,"WOB, Rot in area","WOB, Rot in area","WOB, Rot in area","WOB, Rot in area",1,2,3,4,NA,NA,NA,NA,0,0,0,0,0,"FRNK7029",1310,7029,NA,"Point",2056.01,NA,0.0633564255162084,0,0,0,0,"FRNK_7029_1062","FRNK_7031_1064",1.95267524821249,"FRNK_7034_1067",6.91891503295129,"FRNK_7351_1074",8.85918841686954,"FRNK_7031_1064",1.95267524821249,NA,41.93361715,-111.5715277,41.9336297,-111.5715112,NA,44.4711869373309,41.93367911,-111.5715366,NA,-6.12190358322835,41.93368556,-111.5714727,NA,30.9773828175514,41.9336297,-111.5715112,NA,44.4711869373309,0,0,0,0,1,0,0,1
"7","FRNK",7030,"ABLA",18.3,31.4,12.1,0,"0",1,1,1,1,"0","0","0","0",NA,NA,0,0,"0","0","0","0",0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,"Broken Top","Broken Top","Broken Top","Broken Top",1,2,3,4,NA,NA,NA,NA,0,0,0,0,0,"FRNK7030",1312,7030,NA,"Point",2055.805,NA,0.0661901880827408,0,0,0,0,"FRNK_7030_1063","FRNK_7032_1065",3.76710916640774,"FRNK_7034_1067",5.74760291774115,"FRNK_7349_1072",9.29069674303497,"FRNK_7032_1065",3.76710916640774,NA,41.93362997,-111.5715584,41.93365345,-111.5715256,NA,46.2079874825634,41.93367911,-111.5715366,NA,18.3277592898,41.9336971,-111.5714915,NA,36.6542167259193,41.93365345,-111.5715256,NA,46.2079874825634,0,0,0,0,1,0,0,3
"8","FRNK",7031,"ABLA",10.3,62.4,0,10,"0",1,1,1,1,"BO","0","0","BO",NA,NA,0,0,"0","0","11","11",0,0,0,1,"0","0","0",NA,1,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,"3DB","3DB","3DB","3DB",1,2,3,4,NA,NA,NA,NA,1,0,0,1,0,"FRNK7031",1311,7031,NA,"Point",2056.736,NA,0.0633379537152614,1,0,0,1,"FRNK_7031_1064","FRNK_7032_1065",2.894635817266,"FRNK_7034_1067",5.8762989327744,"FRNK_7351_1074",6.97531382187938,"FRNK_7032_1065",2.894635817266,NA,41.9336297,-111.5715112,41.93365345,-111.5715256,NA,-24.3577945985515,41.93367911,-111.5715366,NA,-20.9992839184328,41.93368556,-111.5714727,NA,27.2320834012878,41.93365345,-111.5715256,NA,-24.3577945985515,1,0,0,1,1,0,0,3
"9","FRNK",7032,"ABLA",NA,3.1,0,0,"0",1,1,1,1,"BO","0","0","BO",NA,NA,1,1,"0","0","0","0",0,0,0,1,"0","0","0",NA,1,0,0,1,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,1,"0","0","0",NA,0,0,0,0,"0","0","0",NA,"Rot in area","Rot in area","Rot in area","Rot in area",1,2,3,4,NA,NA,NA,NA,1,0,0,1,0,"FRNK7032",1313,7032,NA,"Point",2056.719,NA,0.0660504835481739,1,0,0,1,"FRNK_7032_1065","FRNK_7031_1064",2.894635817266,"FRNK_7034_1067",2.99144497251662,"FRNK_7349_1072",5.61078200250935,"FRNK_7033_1066",1.73621980810677,NA,41.93365345,-111.5715256,41.9336297,-111.5715112,NA,155.642195778368,41.93367911,-111.5715366,NA,-17.7495896556509,41.9336971,-111.5714915,NA,30.2561802177273,41.93366824,-111.5715188,NA,18.9477256093412,1,0,0,3,1,0,0,1
"10","FRNK",7033,"ABLA",NA,6.6,0,2,"0",1,1,1,1,"0","0","BO","BO",NA,NA,0,0,"0","0","3","3",0,0,0,1,"0","0","0",NA,0,0,0,1,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,1,"0","0","0",NA,0,0,0,1,"0","0","0",NA,0,0,0,0,"0","0","0",NA,"2DB","2DB","2DB","2DB",1,2,3,4,NA,NA,NA,NA,0,0,0,1,1,"FRNK7033",1314,7033,NA,"Point",2054.885,NA,0.0668501336588731,0,0,0,1,"FRNK_7033_1066","FRNK_7032_1065",1.73621980810677,"FRNK_7034_1067",1.90640421577431,"FRNK_7349_1072",3.92307052283038,"FRNK_7032_1065",1.73621980810677,NA,41.93366824,-111.5715188,41.93365345,-111.5715256,NA,-161.052269846425,41.93367911,-111.5715366,NA,-50.7223984288118,41.9336971,-111.5714915,NA,35.2347612397978,41.93365345,-111.5715256,NA,-161.052269846425,0,0,0,4,1,0,0,3
