"","site","tag","species","dbh","height","canopy_ht","brooms","rot","Dead / Alive_v1","Dead / Alive_v2","Dead / Alive_v3","Dead / Alive_v4","Inf Location_v1","Inf Location_v2","Inf Location_v3","Inf Location_v4","Gouting_v1","Gouting_v2","Gouting_v3","Gouting_v4","Beetle_v1","Beetle_v2","Beetle_v3","Beetle_v4","NL_v1","NL_v2","NL_v3","NL_v4","NLW_v1","NLW_v2","NLW_v3","NLW_v4","NM_v1","NM_v2","NM_v3","NM_v4","NMW_v1","NMW_v2","NMW_v3","NMW_v4","NH_v1","NH_v2","NH_v3","NH_v4","NHW_v1","NHW_v2","NHW_v3","NHW_v4","SL_v1","SL_v2","SL_v3","SL_v4","SLW_v1","SLW_v2","SLW_v3","SLW_v4","SM_v1","SM_v2","SM_v3","SM_v4","SMW_v1","SMW_v2","SMW_v3","SMW_v4","SH_v1","SH_v2","SH_v3","SH_v4","SHW_v1","SHW_v2","SHW_v3","SHW_v4","Notes_v1","Notes_v2","Notes_v3","Notes_v4","Visit_v1","Visit_v2","Visit_v3","Visit_v4","WSB_v1","WSB_v2","WSB_v3","WSB_v4","infested_v1","infested_v2","infested_v3","infested_v4","new_infestation","tag_ID","Number","Tag #","Description","GeometryType","Elevation","GeoidOffset","distance","infestation_visit_1","infestation_visit_2","infestation_visit_3","infestation_visit_4","unique_ID","TARGET","DISTANCE","TARGET2","DISTANCE2","TARGET3","DISTANCE3","TARGET4","DISTANCE4","geometry.x","Latitude.focal","Longitude.focal","Latitude.target","Longitude.target","geometry.y","bearings1","Latitude.target2","Longitude.target2","geometry.x.x","bearings2","Latitude.target3","Longitude.target3","geometry.y.y","bearings3","Latitude.target4","Longitude.target4","geometry","bearings4"
"1","MOCR",5009,"ABCO",2.7,12.3,0,0,"0",1,1,1,1,"0","BO","0","0",1,1,1,1,"0","0","0","0",0,0,0,0,"0","0","0",NA,0,1,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,0,1,0,0,1,"MOCR5009",14,5009,NA,"Point",2521.46,NA,0.0992546591664861,0,1,0,0,"MOCR_5009_1645","MOCR_5010_1671",0.43278052494667,"MOCR_5010_1671",0.43278052494667,"MOCR_5063_1715",4.45869342576881,"MOCR_5010_1671",0.43278052494667,NA,41.40942553,-111.5340326,41.40942941,-111.5340331,NA,-5.54127541361699,41.40942941,-111.5340331,NA,-5.54127541361699,41.4094042,-111.5340778,NA,-122.080509303336,41.40942941,-111.5340331,NA,-5.54127541361699
"2","MOCR",5021,"ABCO",19.8,64.1,7.7,0,"0",1,1,1,1,"0","0","0","0",1,1,2,2,"0","0","0","0",0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,0,0,0,0,0,"MOCR5021",24,5021,NA,"Point",2523.744,NA,0.0771002672571239,0,0,0,0,"MOCR_5021_1646","MOCR_5034_1690",6.17219789091248,"MOCR_5041_1695",2.54463020546826,"MOCR_5040_1694",3.42860827983561,"MOCR_5040_1694",3.42860827983561,NA,41.40941763,-111.5337533,41.40937597,-111.5337044,NA,138.533553862379,41.4093992,-111.5337714,NA,-143.522047926912,41.40938977,-111.533771,NA,-154.438317763094,41.40938977,-111.533771,NA,-154.438317763094
"3","MOCR",5022,"ABCO",23.5,87.4,12.9,0,"0",1,1,1,1,"0","0","0","0",NA,NA,0,0,"0","0","0","0",0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,"Rot in area","Rot in area","Rot in area","Rot in area",1,2,3,4,NA,NA,NA,NA,0,0,0,0,0,"MOCR5022",25,5022,NA,"Point",2527.906,NA,0.0729921063398333,0,0,0,0,"MOCR_5022_1647","MOCR_5034_1690",2.43746767131038,"MOCR_5034_1690",2.43746767131038,"MOCR_5035_1691",2.43746767131038,"MOCR_5034_1690",2.43746767131038,NA,41.40939732,-111.5337112,41.40937597,-111.5337044,NA,166.516057697376,41.40937597,-111.5337044,NA,166.516057697376,41.40937597,-111.5337044,NA,166.516057697376,41.40937597,-111.5337044,NA,166.516057697376
"4","MOCR",5038,"ABCO",5.6,NA,NA,1,"0",1,1,NA,NA,"0","0",NA,NA,2,NA,NA,NA,"0","0",NA,NA,0,0,NA,NA,"0",NA,NA,NA,0,0,NA,NA,"0",NA,NA,NA,0,0,NA,NA,"0",NA,NA,NA,0,0,NA,NA,"0",NA,NA,NA,0,0,NA,NA,"0",NA,NA,NA,0,0,NA,NA,"0",NA,NA,NA,"Rot in area","Rot in area / not found",NA,NA,1,2,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,"MOCR5038",36,5038,NA,"Point",2526.125,NA,0.0560511817776509,0,0,NA,NA,"MOCR_5038_1648","MOCR_5032_1688",7.61498448689042,"MOCR_5032_1688",7.61498448689042,"MOCR_5032_1688",7.61498448689042,"MOCR_5032_1688",7.61498448689042,NA,41.40931674,-111.5335348,41.40938442,-111.5335496,NA,-9.34871523914044,41.40938442,-111.5335496,NA,-9.34871523914044,41.40938442,-111.5335496,NA,-9.34871523914044,41.40938442,-111.5335496,NA,-9.34871523914044
"5","MOCR",5042,"ABCO",3,8.6,0.9,0,"0",1,1,1,1,"0","0","BO","BO",2,2,1,2,"0","0","0","0",0,0,0,0,"0","0","0",NA,0,0,0,1,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,"Rot in area","Rot in area","Rot in area","Rot in area",1,2,3,4,NA,NA,NA,NA,0,0,0,1,1,"MOCR5042",40,5042,NA,"Point",2522.1,NA,0.0748566474988296,0,0,0,1,"MOCR_5042_1649","MOCR_5045_1697",6.27277820354218,"MOCR_5040_1694",6.01187025671789,"MOCR_5040_1694",6.01187025671789,"MOCR_5040_1694",6.01187025671789,NA,41.40933593,-111.5337633,41.40930717,-111.5338279,NA,-120.598226212547,41.40938977,-111.533771,NA,-6.14532107283184,41.40938977,-111.533771,NA,-6.14532107283184,41.40938977,-111.533771,NA,-6.14532107283184
"6","MOCR",5043,"ABCO",9.9,12.2,0,0,"0",1,1,1,1,"0","0","BO","0",1,0,0,0,"0","0","0","0",0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,0,0,0,0,0,"MOCR5043",41,5043,NA,"Point",2525.318,NA,0.0751430708470735,0,0,0,0,"MOCR_5043_1650","MOCR_5045_1697",4.24605336616179,"MOCR_5045_1697",4.24605336616179,"MOCR_5045_1697",4.24605336616179,"MOCR_5042_1649",3.4262271416104,NA,41.40930687,-111.5337771,41.40930717,-111.5338279,NA,-89.55055054346,41.40930717,-111.5338279,NA,-89.55055054346,41.40930717,-111.5338279,NA,-89.55055054346,41.40933593,-111.5337633,NA,19.6725509781378
"7","MOCR",5134,"ABLA",13.3,NA,NA,1,"0",1,1,1,1,"0","BO","BO","BO",1,1,1,1,"0","0","0","0",2,2,2,2,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,1,1,1,1,0,"MOCR5134",119,5134,NA,"Point",2532.517,NA,0.0709212768363615,1,1,1,1,"MOCR_5134_1651","MOCR_5135_1774",2.16966612693962,"MOCR_5135_1774",2.16966612693962,"MOCR_5275_1898",3.39635021463207,"MOCR_5135_1774",2.16966612693962,NA,41.4091917,-111.5337495,41.40920231,-111.5337713,NA,-57.1183500333837,41.40920231,-111.5337713,NA,-57.1183500333837,41.40916225,-111.5337385,NA,164.294026615766,41.40920231,-111.5337713,NA,-57.1183500333837
"8","MOCR",1,"ABLA",2.5,16.4,1.5,0,"0",1,1,1,1,"0","0","0","BO",0,0,0,0,"0","0","0","0",0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,1,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,0,0,0,1,1,"MOCR1",NA,1,NA,"Point",2515.734,NA,0.103708563513837,0,0,0,1,"MOCR_1_1652","MOCR_5008_1670",4.15609310577424,"MOCR_5001_1663",4.07390887548259,"MOCR_5063_1715",6.08265168322996,"MOCR_5003_1665",1.65523820521902,NA,41.40945891,-111.5340739,41.40943217,-111.5340391,NA,135.585473907289,41.4094911,-111.5340973,NA,-28.6904894219249,41.4094042,-111.5340778,NA,-176.928078450683,41.40945861,-111.5340937,NA,-91.1529539377086
"9","MOCR",2,"ABLA",1.3,8,3.6,0,"0",1,1,1,1,"BO","0","0","0",0,0,0,0,"0","0","0","0",0,0,0,0,"0","0","0",NA,1,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,1,0,0,0,0,"MOCR2",NA,2,NA,"Point",2515.734,NA,0.103708563513837,1,0,0,0,"MOCR_2_1653","MOCR_5008_1670",4.15609310577424,"MOCR_5001_1663",4.07390887548259,"MOCR_5063_1715",6.08265168322996,"MOCR_5003_1665",1.65523820521902,NA,41.40945891,-111.5340739,41.40943217,-111.5340391,NA,135.585473907289,41.4094911,-111.5340973,NA,-28.6904894219249,41.4094042,-111.5340778,NA,-176.928078450683,41.40945861,-111.5340937,NA,-91.1529539377086
"10","MOCR",3,"ABLA",1.2,8.6,0,0,"0",1,1,1,1,"0","0","0","0",0,0,0,0,"0","0","0","0",0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,0,0,0,0,0,"MOCR3",NA,3,NA,"Point",2515.734,NA,0.103708563513837,0,0,0,0,"MOCR_3_1654","MOCR_5008_1670",4.15609310577424,"MOCR_5001_1663",4.07390887548259,"MOCR_5063_1715",6.08265168322996,"MOCR_5003_1665",1.65523820521902,NA,41.40945891,-111.5340739,41.40943217,-111.5340391,NA,135.585473907289,41.4094911,-111.5340973,NA,-28.6904894219249,41.4094042,-111.5340778,NA,-176.928078450683,41.40945861,-111.5340937,NA,-91.1529539377086
