"","site","tag","species","dbh","height","canopy_ht","brooms","rot","Dead / Alive_v1","Dead / Alive_v2","Dead / Alive_v3","Dead / Alive_v4","Inf Location_v1","Inf Location_v2","Inf Location_v3","Inf Location_v4","Gouting_v1","Gouting_v2","Gouting_v3","Gouting_v4","Beetle_v1","Beetle_v2","Beetle_v3","Beetle_v4","NL_v1","NL_v2","NL_v3","NL_v4","NLW_v1","NLW_v2","NLW_v3","NLW_v4","NM_v1","NM_v2","NM_v3","NM_v4","NMW_v1","NMW_v2","NMW_v3","NMW_v4","NH_v1","NH_v2","NH_v3","NH_v4","NHW_v1","NHW_v2","NHW_v3","NHW_v4","SL_v1","SL_v2","SL_v3","SL_v4","SLW_v1","SLW_v2","SLW_v3","SLW_v4","SM_v1","SM_v2","SM_v3","SM_v4","SMW_v1","SMW_v2","SMW_v3","SMW_v4","SH_v1","SH_v2","SH_v3","SH_v4","SHW_v1","SHW_v2","SHW_v3","SHW_v4","Notes_v1","Notes_v2","Notes_v3","Notes_v4","Visit_v1","Visit_v2","Visit_v3","Visit_v4","WSB_v1","WSB_v2","WSB_v3","WSB_v4","infested_v1","infested_v2","infested_v3","infested_v4","new_infestation","tag_ID","Number","Tag #","Description","GeometryType","Elevation","GeoidOffset","distance","infestation_visit_1","infestation_visit_2","infestation_visit_3","infestation_visit_4","unique_ID","TARGET","DISTANCE","TARGET2","DISTANCE2","TARGET3","DISTANCE3","TARGET4","DISTANCE4","geometry.x","Latitude.focal","Longitude.focal","Latitude.target","Longitude.target","geometry.y","bearings1","Latitude.target2","Longitude.target2","geometry.x.x","bearings2","Latitude.target3","Longitude.target3","geometry.y.y","bearings3","Latitude.target4","Longitude.target4","geometry","bearings4"
"1","SOAP",741,"ABLA",7.5,49.3,NA,0,"0",1,1,1,1,"0","0","0","0",NA,NA,NA,0,"0","0","0","0",0,0,0,0,"0","0",NA,NA,0,0,0,0,"0","0",NA,NA,0,0,0,0,"0","0",NA,NA,0,0,0,0,"0","0",NA,NA,0,0,0,0,"0","0",NA,NA,0,0,0,0,"0","0",NA,NA,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,0,0,0,0,0,"SOAP741",1550,741,NA,"Point",2638.275,NA,0.0819374878807461,0,0,0,0,"SOAP_741_2052","SOAP_86_2232",7.71634732800802,"SOAP_752_2058",7.46450430249043,"SOAP_81_2227",8.20910048657097,"SOAP_77_2223",7.90617134573409,NA,40.54547978,-111.0299032,40.54547808,-111.0298121,NA,91.4012631970644,40.54541476,-111.0298807,NA,165.212307680418,40.54547749,-111.0298063,NA,91.7743940408929,40.54549396,-111.0298117,NA,78.5165857319495
"2","SOAP",742,"ABLA",7.7,52.6,NA,0,"0",1,1,1,1,"0","0","0","0",NA,NA,NA,0,"0","0","0","0",0,0,0,0,"0","0",NA,NA,0,0,0,0,"0","0",NA,NA,0,0,0,0,"0","0",NA,NA,0,0,0,0,"0","0",NA,NA,0,0,0,0,"0","0",NA,NA,0,0,0,0,"0","0",NA,NA,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,0,0,0,0,0,"SOAP742",1551,742,NA,"Point",2644.619,NA,0.0830017583904808,0,0,0,0,"SOAP_742_2053","SOAP_86_2232",8.01272018562422,"SOAP_752_2058",6.5499912822952,"SOAP_81_2227",8.49500814181475,"SOAP_77_2223",8.41603298825355,NA,40.54547047,-111.0299062,40.54547808,-111.0298121,NA,83.9484997376799,40.54541476,-111.0298807,NA,160.751992986014,40.54547749,-111.0298063,NA,84.7369761056058,40.54549396,-111.0298117,NA,71.9519322137366
"3","SOAP",747,"ABLA",NA,7.4,NA,6,"0",1,1,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,0,0,NA,NA,"0","0",NA,NA,0,0,NA,NA,"0","0",NA,NA,0,0,NA,NA,"0","0",NA,NA,0,0,NA,NA,"0","0",NA,NA,0,0,NA,NA,"0","0",NA,NA,0,0,NA,NA,"0","0",NA,NA,"3 DB","3 DB",NA,NA,1,2,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,"SOAP747",1563,747,NA,"Point",2642.353,NA,0.0910379716166431,0,0,NA,NA,"SOAP_747_2054","SOAP_277_2062",3.15416965711381,"SOAP_277_2062",3.15416965711381,"SOAP_94_2241",12.4703856883712,"SOAP_280_2064",3.41613761518064,NA,40.54540017,-111.0299288,40.54538615,-111.0298964,NA,119.56351262633,40.54538615,-111.0298964,NA,119.56351262633,40.54545833,-111.0298028,NA,58.8224873010662,40.5453751,-111.0299054,NA,144.547891709346
"4","SOAP",745,"ABLA",6.8,41.5,NA,0,"0",1,1,1,1,"0","0","0","0",NA,NA,NA,0,"0","0","0","0",0,0,0,0,"0","0",NA,NA,0,0,0,0,"0","0",NA,NA,0,0,0,0,"0","0",NA,NA,0,0,0,0,"0","0",NA,NA,0,0,0,0,"0","0",NA,NA,0,0,0,0,"0","0",NA,NA,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,0,0,0,0,0,"SOAP745",1553,745,NA,"Point",2643.769,NA,0.0858313215203127,0,0,0,0,"SOAP_745_2055","SOAP_277_2062",6.05311222745868,"SOAP_752_2058",2.96275060560934,"SOAP_94_2241",7.65348814611559,"SOAP_280_2064",7.3708680748492,NA,40.54544047,-111.0298901,40.54538615,-111.0298964,NA,-174.943938536107,40.54541476,-111.0298807,NA,164.415688942534,40.54545833,-111.0298028,NA,74.9875365059176,40.5453751,-111.0299054,NA,-169.876713250443
"5","SOAP",750,"ABLA",NA,5.6,0,6,"0",1,1,1,1,"0","0","0","0",NA,NA,NA,0,"0","0","0","0",0,0,0,0,"0","0",NA,NA,0,0,0,0,"0","0",NA,NA,0,0,0,0,"0","0",NA,NA,0,0,0,0,"0","0",NA,NA,0,0,0,0,"0","0",NA,NA,0,0,0,0,"0","0",NA,NA,"5 DB, WOB","5 DB, WOB","5 DB, WOB","5 DB, WOB",1,2,3,4,NA,NA,NA,NA,0,0,0,0,0,"SOAP750",1557,750,NA,"Point",2646.184,NA,0.0840157621268202,0,0,0,0,"SOAP_750_2056","SOAP_92_2239",5.15070144277261,"SOAP_752_2058",4.37310417885083,"SOAP_94_2241",5.39829318429968,"SOAP_94_2241",5.39829318429968,NA,40.54545255,-111.0298661,40.5454592,-111.0298059,NA,81.760465684368,40.54541476,-111.0298807,NA,-163.578540655068,40.54545833,-111.0298028,NA,83.1742736680739,40.54545833,-111.0298028,NA,83.1742736680739
"6","SOAP",749,"ABLA",5.4,35.8,NA,0,"0",1,1,1,1,"0","0","0","0",NA,NA,NA,0,"0","0","0","0",0,0,0,0,"0","0",NA,NA,0,0,0,0,"0","0",NA,NA,0,0,0,0,"0","0",NA,NA,0,0,0,0,"0","0",NA,NA,0,0,0,0,"0","0",NA,NA,0,0,0,0,"0","0",NA,NA,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,0,0,0,0,0,"SOAP749",1556,749,NA,"Point",2646.156,NA,0.0832051262288256,0,0,0,0,"SOAP_749_2057","SOAP_86_2232",4.90799342519012,"SOAP_86_2232",4.90799342519012,"SOAP_94_2241",5.26108997549563,"SOAP_94_2241",5.26108997549563,NA,40.54545984,-111.0298649,40.54547808,-111.0298121,NA,65.6366476773468,40.54547808,-111.0298121,NA,65.6366476773468,40.54545833,-111.0298028,NA,91.8256534956891,40.54545833,-111.0298028,NA,91.8256534956891
"7","SOAP",752,"ABLA",10.6,52.4,NA,2,"0",1,1,1,1,"0","BO","0","0",NA,NA,NA,0,"0","0","0","0",0,0,0,0,"0","0",NA,NA,0,0,0,0,"0","0",NA,NA,0,0,0,0,"0","0",NA,NA,0,0,0,0,"0","0",NA,NA,0,1,0,0,"0","0",NA,NA,0,0,0,0,"0","0",NA,NA,"2 DB","2 DB","2 DB","2 DB",1,2,3,4,NA,NA,NA,NA,0,1,0,0,1,"SOAP752",1559,752,NA,"Point",2642.161,NA,0.0883922315968758,0,1,0,0,"SOAP_752_2058","SOAP_277_2062",3.4427655313656,"SOAP_277_2062",3.4427655313656,"SOAP_94_2241",8.17931236204918,"SOAP_280_2064",4.87386707836348,NA,40.54541476,-111.0298807,40.54538615,-111.0298964,NA,-157.284833575265,40.54538615,-111.0298964,NA,-157.284833575265,40.54545833,-111.0298028,NA,53.7517537983104,40.5453751,-111.0299054,NA,-154.587730003135
"8","SOAP",753,"ABLA",1.1,4.8,NA,0,"0",1,1,1,1,"0","0","0","0",NA,NA,NA,0,"0","0","0","0",0,0,0,0,"0","0",NA,NA,0,0,0,0,"0","0",NA,NA,0,0,0,0,"0","0",NA,NA,0,0,0,0,"0","0",NA,NA,0,0,0,0,"0","0",NA,NA,0,0,0,0,"0","0",NA,NA,"Bent","Bent","Bent","Bent",1,2,3,4,NA,NA,NA,NA,0,0,0,0,0,"SOAP753",1560,753,NA,"Point",2642.37,NA,0.0895900689607755,0,0,0,0,"SOAP_753_2059","SOAP_277_2062",2.85078612166605,"SOAP_752_2058",2.5542852525267,"SOAP_94_2241",10.5734510342561,"SOAP_280_2064",3.85125335841509,NA,40.54540961,-111.0299101,40.54538615,-111.0298964,NA,155.98785406323,40.54541476,-111.0298807,NA,77.0675588185514,40.54545833,-111.0298028,NA,59.2384710630929,40.5453751,-111.0299054,NA,174.068581644755
"9","SOAP",751,"ABLA",12.8,61.1,NA,2,"0",1,1,1,1,"0","0","0","0",NA,NA,NA,0,"0","0","0","0",0,0,0,0,"0","0",NA,NA,0,0,0,0,"0","0",NA,NA,0,0,0,0,"0","0",NA,NA,0,0,0,0,"0","0",NA,NA,0,0,0,0,"0","0",NA,NA,0,0,0,0,"0","0",NA,NA,"2 DB","2 DB","2 DB","2 DB",1,2,3,4,NA,NA,NA,NA,0,0,0,0,0,"SOAP751",1564,751,NA,"Point",2643.315,NA,0.0928948045772234,0,0,0,0,"SOAP_751_2060","SOAP_281_2065",1.39772368917728,"SOAP_281_2065",1.39772368917728,"SOAP_146_2279",9.35524763537185,"SOAP_284_2068",1.23555354577834,NA,40.54537298,-111.0298804,40.54537789,-111.0298956,NA,-67.0498893940324,40.54537789,-111.0298956,NA,-67.0498893940324,40.54535833,-111.0297716,NA,100.010156816167,40.54536558,-111.0298913,NA,-131.667560339066
"10","SOAP",744,"ABLA",1.6,12.2,NA,0,"0",1,1,1,1,"0","0","0","0",NA,NA,NA,0,"0","0","0","0",0,0,0,0,"0","0",NA,NA,0,0,0,0,"0","0",NA,NA,0,0,0,0,"0","0",NA,NA,0,0,0,0,"0","0",NA,NA,0,0,0,0,"0","0",NA,NA,0,0,0,0,"0","0",NA,NA,"Bent top","Bent top","Bent top","Bent top",1,2,3,4,NA,NA,NA,NA,0,0,0,0,0,"SOAP744",1561,744,NA,"Point",2643.123,NA,0.0907396183427038,0,0,0,0,"SOAP_744_2061","SOAP_277_2062",1.60610462312743,"SOAP_277_2062",1.60610462312743,"SOAP_94_2241",11.0566740383292,"SOAP_280_2064",2.5672606335798,NA,40.5453982,-111.0299069,40.54538615,-111.0298964,NA,146.387108848097,40.54538615,-111.0298964,NA,146.387108848097,40.54545833,-111.0298028,NA,52.8674777072297,40.5453751,-111.0299054,NA,177.1641358585
