"","site","tag","species","dbh","height","canopy_ht","brooms","rot","Dead / Alive_v1","Dead / Alive_v2","Dead / Alive_v3","Dead / Alive_v4","Inf Location_v1","Inf Location_v2","Inf Location_v3","Inf Location_v4","Gouting_v1","Gouting_v2","Gouting_v3","Gouting_v4","Beetle_v1","Beetle_v2","Beetle_v3","Beetle_v4","NL_v1","NL_v2","NL_v3","NL_v4","NLW_v1","NLW_v2","NLW_v3","NLW_v4","NM_v1","NM_v2","NM_v3","NM_v4","NMW_v1","NMW_v2","NMW_v3","NMW_v4","NH_v1","NH_v2","NH_v3","NH_v4","NHW_v1","NHW_v2","NHW_v3","NHW_v4","SL_v1","SL_v2","SL_v3","SL_v4","SLW_v1","SLW_v2","SLW_v3","SLW_v4","SM_v1","SM_v2","SM_v3","SM_v4","SMW_v1","SMW_v2","SMW_v3","SMW_v4","SH_v1","SH_v2","SH_v3","SH_v4","SHW_v1","SHW_v2","SHW_v3","SHW_v4","Notes_v1","Notes_v2","Notes_v3","Notes_v4","Visit_v1","Visit_v2","Visit_v3","Visit_v4","WSB_v1","WSB_v2","WSB_v3","WSB_v4","infested_v1","infested_v2","infested_v3","infested_v4","new_infestation","tag_ID","Number","Tag #","Description","GeometryType","Elevation","GeoidOffset","distance","infestation_visit_1","infestation_visit_2","infestation_visit_3","infestation_visit_4","unique_ID","TARGET","DISTANCE","TARGET2","DISTANCE2","TARGET3","DISTANCE3","TARGET4","DISTANCE4","geometry.x","Latitude.focal","Longitude.focal","Latitude.target","Longitude.target","geometry.y","bearings1","Latitude.target2","Longitude.target2","geometry.x.x","bearings2","Latitude.target3","Longitude.target3","geometry.y.y","bearings3","Latitude.target4","Longitude.target4","geometry","bearings4"
"1","TMPF",216,"ABLA",NA,5.7,NA,0,"0",1,1,1,1,"0","0","0","BO",0,0,0,0,"0","0","0","0",0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,1,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,1,"0","0","0",NA,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,0,0,0,1,1,"TMPF216",2942,216,NA,"Point",2383.03,NA,0.050075283216916,0,0,0,1,"TMPF_216_2517","TMPF_217_2680",1.31460276863023,"TMPF_217_2680",1.31460276863023,"TMPF_217_2680",1.31460276863023,"TMPF_217_2680",1.31460276863023,NA,41.79830937,-111.5192963,41.79831926,-111.519305,NA,-33.354958321732,41.79831926,-111.519305,NA,-33.354958321732,41.79831926,-111.519305,NA,-33.354958321732,41.79831926,-111.519305,NA,-33.354958321732
"2","TMPF",136,"ABLA",NA,5,NA,0,"0",1,1,1,1,"BR","BR","BO","BO",0,0,1,1,"0","0","0","0",0,0,0,0,"0","0","0",NA,0,0,0,1,"0","0","0",NA,1,1,0,1,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,1,"0","0","0",NA,0,0,0,1,"0","0","0",NA,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,1,1,0,1,0,"TMPF136",2867,136,NA,"Point",2394.86,NA,0.0345066887288699,1,1,0,1,"TMPF_136_2518","TMPF_137_2644",3.69958388612401,"TMPF_137_2644",3.69958388612401,"TMPF_137_2644",3.69958388612401,"TMPF_137_2644",3.69958388612401,NA,41.79828468,-111.5187682,41.79826538,-111.5188045,NA,-125.394878313831,41.79826538,-111.5188045,NA,-125.394878313831,41.79826538,-111.5188045,NA,-125.394878313831,41.79826538,-111.5188045,NA,-125.394878313831
"3","TMPF",139,"ABLA",NA,4.9,NA,0,"0",1,1,1,1,"0","0","0","BO",1,1,0,1,"0","0","0","0",0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,1,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,0,0,0,1,1,"TMPF139",2870,139,NA,"Point",2393.845,NA,0.0367428127571433,0,0,0,1,"TMPF_139_2519","TMPF_137_2644",2.43724105713788,"TMPF_137_2644",2.43724105713788,"TMPF_137_2644",2.43724105713788,"TMPF_138_2796",1.93742279351602,NA,41.79826161,-111.5188334,41.79826538,-111.5188045,NA,80.1109452193994,41.79826538,-111.5188045,NA,80.1109452193994,41.79826538,-111.5188045,NA,80.1109452193994,41.79826449,-111.5188104,NA,80.5002277683987
"4","TMPF",140,"ABLA",NA,2.6,NA,0,"0",1,1,1,1,"0","0","0","BO",0,0,0,0,"0","0","0","0",0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,1,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,0,0,0,1,1,"TMPF140",2871,140,NA,"Point",2392.859,NA,0.03271052159363,0,0,0,1,"TMPF_140_2520","TMPF_143_2698",1.58326708195508,"TMPF_143_2698",1.58326708195508,"TMPF_143_2698",1.58326708195508,"TMPF_143_2698",1.58326708195508,NA,41.79829795,-111.5188146,41.79831169,-111.5188197,NA,-15.5225695150797,41.79831169,-111.5188197,NA,-15.5225695150797,41.79831169,-111.5188197,NA,-15.5225695150797,41.79831169,-111.5188197,NA,-15.5225695150797
"5","TMPF",141,"ABLA",NA,5.3,NA,0,"0",1,1,1,1,"0","0","BO","BO",0,0,0,0,"0","0","0","0",0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,1,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,0,0,0,1,1,"TMPF141",2872,141,NA,"Point",2393.503,NA,0.031093913839159,0,0,0,1,"TMPF_141_2521","TMPF_143_2698",2.04340424258284,"TMPF_142_2743",0.937776276477577,"TMPF_143_2698",2.04340424258284,"TMPF_142_2743",0.937776276477577,NA,41.79831331,-111.5187952,41.79831169,-111.5188197,NA,-95.0498159542895,41.79831226,-111.5188064,NA,-97.1411464483702,41.79831169,-111.5188197,NA,-95.0498159542895,41.79831226,-111.5188064,NA,-97.1411464483702
"6","TMPF",146,"ABLA",NA,5.4,NA,1,"0",1,1,1,1,"0","0","0","0",0,0,0,0,"0","0","0","0",0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,"1 DB","1 DB","1 DB","1 DB",1,2,3,4,NA,NA,NA,NA,0,0,0,0,0,"TMPF146",2875,146,NA,"Point",2395.143,NA,0.0334311821957342,0,0,0,0,"TMPF_146_2522","TMPF_150_2724",0.808872034004944,"TMPF_150_2724",0.808872034004944,"TMPF_150_2724",0.808872034004944,"TMPF_150_2724",0.808872034004944,NA,41.7982915,-111.5188389,41.79828714,-111.5188467,NA,-126.759879437276,41.79828714,-111.5188467,NA,-126.759879437276,41.79828714,-111.5188467,NA,-126.759879437276,41.79828714,-111.5188467,NA,-126.759879437276
"7","TMPF",149,"ABLA",NA,5.4,NA,0,"0",1,1,1,1,"0","0","0","0",0,1,0,0,"0","0","0","0",0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,0,0,0,0,0,"TMPF149",2879,149,NA,"Point",2392.655,NA,0.0341480101563641,0,0,0,0,"TMPF_149_2523","TMPF_152_2733",1.13038187904028,"TMPF_152_2733",1.13038187904028,"TMPF_150_2724",1.63886070390353,"TMPF_148_2774",0.865072559936055,NA,41.79828638,-111.5188664,41.7982762,-111.5188662,NA,179.157747130299,41.7982762,-111.5188662,NA,179.157747130299,41.79828714,-111.5188467,NA,87.0486705375304,41.7982928,-111.5188723,NA,-34.5154921254653
"8","TMPF",151,"ABLA",NA,4,NA,0,"0",1,1,1,1,"0","0","0","0",0,0,0,0,"0","0","0","0",0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,0,0,0,0,0,"TMPF151",2881,151,NA,"Point",2394.586,NA,0.0341664860250102,0,0,0,0,"TMPF_151_2524","TMPF_150_2724",0.226759710498287,"TMPF_150_2724",0.226759710498287,"TMPF_150_2724",0.226759710498287,"TMPF_150_2724",0.226759710498287,NA,41.79828511,-111.5188464,41.79828714,-111.5188467,NA,-6.31038351528217,41.79828714,-111.5188467,NA,-6.31038351528217,41.79828714,-111.5188467,NA,-6.31038351528217,41.79828714,-111.5188467,NA,-6.31038351528217
"9","TMPF",154,"ABLA",NA,5.3,NA,1,"0",1,1,1,1,"0","0","0","BO",1,1,1,1,"0","0","0","0",0,0,0,1,"0","0","0",NA,0,0,0,1,"0","0","0",NA,0,0,0,1,"0","0","0",NA,0,0,0,1,"0","0","0",NA,0,0,0,1,"0","0","0",NA,0,0,0,0,"0","0","0",NA,"1 DB","1 DB","1 DB","1 DB",1,2,3,4,NA,NA,NA,NA,0,0,0,1,1,"TMPF154",2884,154,NA,"Point",2394.6,NA,0.0356391619322355,0,0,0,1,"TMPF_154_2525","TMPF_152_2733",0.553807198804942,"TMPF_152_2733",0.553807198804942,"TMPF_150_2724",2.03520899543488,"TMPF_153_2775",0.415322431921854,NA,41.79827259,-111.5188616,41.7982762,-111.5188662,NA,-43.6363500059038,41.7982762,-111.5188662,NA,-43.6363500059038,41.79828714,-111.5188467,NA,37.4625215157668,41.79827605,-111.5188635,NA,-22.3382407716848
"10","TMPF",156,"ABLA",NA,4.1,NA,0,"0",1,1,1,1,"BO","BO","BO","BO",0,0,0,0,"0","0","0","0",0,0,0,0,"0","0","0",NA,1,0,0,1,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,1,"0","0","0",NA,0,0,0,1,"0","0","0",NA,0,0,0,0,"0","0","0",NA,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,1,0,0,1,0,"TMPF156",2886,156,NA,"Point",2392.803,NA,0.0350712160751997,1,0,0,1,"TMPF_156_2526","TMPF_152_2733",1.84296212373374,"TMPF_152_2733",1.84296212373374,"TMPF_159_2659",3.19388039490611,"TMPF_157_2727",0.277930206922455,NA,41.79827998,-111.5188878,41.7982762,-111.5188662,NA,103.163013498485,41.7982762,-111.5188662,NA,103.163013498485,41.79829647,-111.5189193,NA,-55.0238870123439,41.79828209,-111.518886,NA,32.552133932103
