Number,Name,Description,GeometryType,Latitude,Longitude,Elevation,GeoidOffset
5583,potr175,"",Point,41.7984865241667,-111.519273302333,2380.796,-16.928
5582,potr174,"",Point,41.7984800165,-111.5192635535,2377.075,-16.928
5581,TMPF_SE,"",Point,41.798707331,-111.518795071,2386.209,-16.928
5580,TMPF_NE,"",Point,41.798647888,-111.519385845833,2378.78,-16.928
5579,TMPF_NW,"",Point,41.7982253153333,-111.519354836,2391.673,-16.928
5578,TMPF_SW,"",Point,41.798261893,-111.518745763333,2394.541,-16.928
5577,potr173,"",Point,41.7986199721667,-111.518790402167,2390.32,-16.928
5576,potr172,"",Point,41.798615528,-111.518811403,2388.94,-16.928
5575,potr171,"",Point,41.7986010576667,-111.518822433,2390.699,-16.928
5574,potr170,"",Point,41.7985996046667,-111.518778082,2391.692,-16.928
5573,potr169,"",Point,41.7985704636667,-111.518802506667,2392.058,-16.928
5572,potr168,"",Point,41.79856457,-111.518810832,2390.468,-16.928
5571,potr167,"",Point,41.7985793303333,-111.518838057667,2392.543,-16.928
5570,potr166,"",Point,41.7985809803333,-111.518843615667,2391.439,-16.928
5569,potr165,"",Point,41.7985864705,-111.518852233667,2389.922,-16.928
5568,potr164,"",Point,41.798658734,-111.518932067,2387.264,-16.928
5567,potr163,"",Point,41.7986555828333,-111.518921847833,2387.415,-16.928
5566,potr162,"",Point,41.7986433916667,-111.518968772,2385.599,-16.928
5565,potr161,"",Point,41.7986514833333,-111.5189791165,2386.149,-16.928
5564,psmeg14,"",Point,41.7986503575,-111.518947809167,2388.423,-16.928
5563,potr160,"",Point,41.7986192013333,-111.518880405833,2390.82,-16.928
5562,potr159,"",Point,41.7985923685,-111.518879133,2388.205,-16.928
5561,potr158,"",Point,41.7985950858333,-111.518877187833,2389.008,-16.928
5560,potr157,"",Point,41.7985938968333,-111.518875894,2389.186,-16.928
5559,potr156,"",Point,41.798591217,-111.5188742045,2389.671,-16.928
5558,psmeg13,"",Point,41.7985920485,-111.5189260225,2391.128,-16.928
5557,potr155,"",Point,41.7985911253333,-111.5189205875,2389.149,-16.928
5556,psmeg12,"",Point,41.7985960021667,-111.518967461667,2387.504,-16.928
5555,psmeg11,"",Point,41.7986120396667,-111.518962757667,2389.718,-16.928
5554,potr154,"",Point,41.7985711908333,-111.518941266167,2386.733,-16.928
5553,potr153,"",Point,41.7985401076667,-111.518906476167,2387.642,-16.928
5552,potr152,"",Point,41.7985754528333,-111.518948502,2384.683,-16.928
5551,potr151,"",Point,41.7985770956667,-111.518991329333,2389.014,-16.928
5550,potr150,"",Point,41.7986115513333,-111.518980228667,2384.884,-16.928
5549,potr149,"",Point,41.7985959551667,-111.519033963,2386.025,-16.928
5548,potr148,"",Point,41.7985768905,-111.5190401025,2385.728,-16.928
5547,potr147,"",Point,41.7985742846667,-111.519074875167,2384.907,-16.928
5546,potr146,"",Point,41.7985808703333,-111.519088163833,2386.656,-16.928
5545,potr145,"",Point,41.798615833,-111.519063492833,2385.182,-16.928
5544,potr144,"",Point,41.7986248595,-111.519038954167,2383.79,-16.928
5543,potr143,"",Point,41.7986557761667,-111.519050883167,2385.24,-16.928
5542,potr142,"",Point,41.798644325,-111.519102253167,2387.071,-16.928
5541,potr141,"",Point,41.7986034578333,-111.5190869625,2386.963,-16.928
5540,potr140,"",Point,41.7986072435,-111.519105391,2385.627,-16.928
5539,potr139,"",Point,41.7986094251667,-111.5191056725,2393.324,-16.928
5538,potr138,"",Point,41.7985659726667,-111.519095818167,2384.311,-16.928
5537,potr137,"",Point,41.7985618771667,-111.519105027167,2383.321,-16.928
5536,potr136,"",Point,41.7985608291667,-111.519106797667,2383.817,-16.928
5535,potr135,"",Point,41.7985725656667,-111.519108644167,2386.289,-16.928
5534,potr134,"",Point,41.7985438191667,-111.519129752,2385.017,-16.928
5533,potr133,"",Point,41.7985656245,-111.519157215167,2384.057,-16.928
5532,potr132,"",Point,41.7985922776667,-111.519162995333,2382.78,-16.928
5531,potr131,"",Point,41.798610451,-111.519258700333,2379.331,-16.928
5530,potr130,"",Point,41.798607093,-111.519251830333,2379.662,-16.928
5529,potr129,"",Point,41.7986294118333,-111.519244194167,2383.654,-16.928
5528,potr128,"",Point,41.7986238363333,-111.519221417333,2382.87,-16.928
5527,potr127,"",Point,41.798638946,-111.519197719833,2383.015,-16.928
5526,potr126,"",Point,41.7986540161667,-111.519149680667,2383.392,-16.928
5525,potr125,"",Point,41.7986708023333,-111.519158170333,2374.857,-16.928
5524,potr124,"",Point,41.7986639021667,-111.519212738167,2382.137,-16.928
5523,potr123,"",Point,41.7986724995,-111.519229505167,2379.525,-16.928
5522,potr122,"",Point,41.7986724925,-111.519227886,2379.575,-16.928
5521,potr121,"",Point,41.7986391165,-111.519208178667,2383.563,-16.928
5520,potr120,"",Point,41.7986426683333,-111.519223884333,2381.435,-16.928
5519,potr119,"",Point,41.7986558546667,-111.519229615333,2378.389,-16.928
5518,potr118,"",Point,41.7986669271667,-111.519224769833,2378.816,-16.928
5517,potr117,"",Point,41.7986524816667,-111.519314122333,2378.225,-16.928
5516,potr116,"",Point,41.7986344396667,-111.519376303333,2380.461,-16.928
5515,potr115,"",Point,41.7986134961667,-111.519365889333,2380.394,-16.928
5514,potr114,"",Point,41.7985761466667,-111.519295382,2382.095,-16.928
5513,potr113,"",Point,41.7985452753333,-111.5193373405,2383.861,-16.928
5512,potr112,"",Point,41.7985377495,-111.519378107833,2381.497,-16.928
5511,potr111,"",Point,41.7985374228333,-111.5193771315,2381.507,-16.928
5510,potr110,"",Point,41.7985453383333,-111.519225864167,2386.406,-16.928
5509,potr109,"",Point,41.7984912428333,-111.51918922,2384.643,-16.928
5508,potr108,"",Point,41.7985048305,-111.519164458,2384.399,-16.928
5507,potr107,"",Point,41.7985004365,-111.519161192333,2384.083,-16.928
5506,potr106,"",Point,41.7985263818333,-111.519147466,2384.36,-16.928
5505,potr105,"",Point,41.7985260783333,-111.5191328805,2384.381,-16.928
5504,psmeg10,"",Point,41.7985250513333,-111.519090281167,2383.86,-16.928
5503,potr104,"",Point,41.7985315606667,-111.519067319667,2384.539,-16.928
5502,potr103,"",Point,41.7984877471667,-111.5190503855,2384.092,-16.928
5501,potr102,"",Point,41.7984868258333,-111.519050142667,2384.601,-16.928
5500,potr101,"",Point,41.7984879525,-111.5190507925,2384.825,-16.928
5499,potr100,"",Point,41.7984751816667,-111.518998193667,2387.81,-16.928
5498,potr99,"",Point,41.7985244036667,-111.518943936,2390.126,-16.928
5497,potr98,"",Point,41.7984853353333,-111.518932603,2389.806,-16.928
5496,potr97,"",Point,41.7984679835,-111.518915983,2389.728,-16.928
5495,psmeg9,"",Point,41.798467385,-111.518882911833,2389.397,-16.928
5494,potr96,"",Point,41.7985049563333,-111.518889522167,2389.75,-16.928
5493,potr95,"",Point,41.7985311161667,-111.518901023167,2390.384,-16.928
5492,potr94,"",Point,41.7985455963333,-111.518842195167,2393.293,-16.928
5491,potr93,"",Point,41.79851392,-111.518832353,2393.452,-16.928
5490,psmeg8,"",Point,41.7985095971667,-111.518835131333,2388.436,-16.928
5489,potr92,"",Point,41.7985162743333,-111.5188270505,2391.726,-16.928
5488,psmeg7,"",Point,41.7984943456667,-111.518805655667,2390.541,-16.928
5487,potr91,"",Point,41.7984778915,-111.518805283667,2390.63,-16.928
5486,potr90,"",Point,41.7984648148333,-111.518788985333,2390.787,-16.928
5485,potr89,"",Point,41.7984856693333,-111.518773033667,2391.443,-16.928
5484,potr88,"",Point,41.7984572348333,-111.518877912667,2388.377,-16.928
5483,potr87,"",Point,41.798420721,-111.518802753333,2389.179,-16.928
5482,potr86,"",Point,41.7984404563333,-111.518828311833,2388.875,-16.928
5481,psmeg6,"",Point,41.7984115426667,-111.518855370167,2392.922,-16.928
5480,psmeg5,"",Point,41.7983807735,-111.518868324333,2391.281,-16.928
5479,potr85,"",Point,41.7983822758333,-111.518857914,2391.549,-16.928
5478,potr84,"",Point,41.7983636736667,-111.5188826235,2392.05,-16.928
