Number,Name,Description,GeometryType,Latitude,Longitude,Elevation,GeoidOffset
3849,7327,,Point,41.93378353,-111.5714882,2056.004,-16.96
3848,7447,,Point,41.9336426,-111.5717332,2057.905,-16.96
3847,7357,,Point,41.93374861,-111.5715012,2055.997,-16.96
3846,potr53,,Point,41.93339047,-111.571437,2058.018,-16.96
3845,potr52 no ,,Point,41.93340604,-111.5713813,2057.55,-16.96
3844,potr51,,Point,41.93339215,-111.5713468,2056.174,-16.96
3843,potr50,,Point,41.93340469,-111.571316,2058.501,-16.96
3842,potr49,,Point,41.93342344,-111.5713076,2055.78,-16.96
3841,potr48,,Point,41.93342795,-111.5713619,2057.3,-16.96
3840,potr47,,Point,41.93343783,-111.5713675,2060.251,-16.96
3839,potr46,,Point,41.93342448,-111.5713446,2056.581,-16.96
3838,potr45,,Point,41.9334275,-111.5713776,2055.223,-16.96
3837,potr44,,Point,41.93341958,-111.5714478,2058.06,-16.96
3836,potr43,,Point,41.93343232,-111.571438,2057.85,-16.96
3835,potr42,,Point,41.93343913,-111.571457,2057.756,-16.96
3834,pico13,,Point,41.93345243,-111.5714774,2057.744,-16.96
3833,potr41,,Point,41.93344821,-111.5714737,2058.715,-16.96
3832,potr40,,Point,41.9334627,-111.5714905,2057.574,-16.96
3831,potr39,,Point,41.93347421,-111.5714582,2060.535,-16.96
3830,pico12,,Point,41.93343891,-111.5713688,2059.502,-16.96
3829,potr38,,Point,41.93345517,-111.5714,2056.103,-16.96
3828,potr37,,Point,41.93345315,-111.5713947,2057.043,-16.96
3827,potr36,,Point,41.9334455,-111.5713786,2056.588,-16.96
3826,pico11,,Point,41.93343713,-111.5713803,2056.759,-16.96
3825,potr35,,Point,41.93341172,-111.5713336,2051.178,-16.96
3824,potr34,,Point,41.93343166,-111.5713484,2050.268,-16.96
3823,pico10,,Point,41.93344731,-111.5713444,2050.249,-16.96
3822,potr33,,Point,41.93349538,-111.5713687,2057.087,-16.96
3821,potr32,,Point,41.93347985,-111.5714136,2056.763,-16.96
3820,potr31,,Point,41.93349548,-111.5714329,2059.028,-16.96
3819,potr30,,Point,41.93350849,-111.5714694,2057.407,-16.96
3818,potr29,,Point,41.9334862,-111.5714656,2055.51,-16.96
3817,potr28,,Point,41.93349422,-111.5714738,2055.501,-16.96
3816,pico9,,Point,41.93348694,-111.5714868,2056.246,-16.96
